127.0.0.1 - - [05/Dec/2015:14:39:04 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:46:10 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:46:15 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:46:20 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:46:25 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:46:30 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:46:35 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:46:40 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:46:43 -0500] "POST /StrutsAjax/logonToFiveCardStudPoker.html HTTP/1.1" 200 7038
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:46:45 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:46:47 -0500] "POST /StrutsAjax/joinGame2.html HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:46:50 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:46:55 -0500] "POST /StrutsAjax/joinGameNow.html?gamePlayer1UserName=LFreeman8 HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:46:55 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:47:00 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:47:05 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:47:10 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:47:15 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:47:20 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:47:25 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:47:30 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:47:35 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:47:40 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:47:45 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:47:50 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:47:55 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:48:00 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:48:05 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:48:10 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:48:15 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:48:20 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:48:25 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:48:30 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:48:35 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:48:40 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:48:45 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:48:50 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:48:55 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:49:00 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:49:05 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:49:10 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:49:15 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:49:20 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:49:25 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:49:30 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:49:35 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:49:40 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:49:45 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:49:50 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:49:55 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Dec/2015:14:50:00 -0500] "POST /StrutsAjax/waitForTurnOrGameToStart.html HTTP/1.1" 200 313
